team_name;npxG90_2023;npxGA90_2023;npxG90_2022;npxGA90_2022
Atalanta;1,35;1,01;1,53;1,07
Bologna;1,01;1,12;1,08;1,2
Cremonese;0,87;1,64;0,87;1,64
Empoli;0,97;1,44;1,03;1,54
Fiorentina;1,27;1,05;1,34;0,97
Verona;1;1,22;1,16;1,21
Internazionale;1,68;0,84;1,94;0,95
Juventus;1,32;1,02;1,23;0,86
Lazio;1,17;1,12;1,27;1,14
Lecce;0,78;1,04;0,78;1,04
Milan;1,47;0,98;1,42;0,84
Monza;1,1;1,27;1,1;1,27
Napoli;1,69;0,77;1,23;0,84
Roma;1,41;0,71;1,53;0,89
Salernitana;0,93;1,58;0,87;1,56
Sampdoria;0,82;1,31;0,88;1,4
Sassuolo;1,08;1,22;1,32;1,57
Spezia;0,85;1,53;0,95;1,43
Torino;1,05;1,04;1,16;0,8
Udinese;1,29;1,21;1,27;1,24
